,claims,evidences,label,date
64,"On Wednesday 3rd August 2022, Zambia Reports and various online media platforms published an article alleging that Electoral Commission of Zambia Chief Executive Officer (CEO), Kryticous Patrick Nshindano has been fired.","The fact checking process has determined as misleading the claim by Zambia Reports and various online media platforms that Electoral Commission of Zambia Chief Executive Officer (CEO), Patrick Nshindano has been fired. In a fact-finding mission to interrogate the matter, the iVerify fact checking unit contacted Mr. Nshindano who clarified that he and the commission had agreed on mutual separation by both parties. In a press release obtained by iVerify, the Electoral Commission of Zambia announced that the mutual separation was agreed upon by both parties in a commission meeting of 2nd August, 2022, as opposed to assertions that Mr. Nshindano has been fired. Therefore, reports by Zambia Reports and various online media platforms that Electoral Commission of Zambia Chief Executive Officer (CEO), Patrick Nshindano has been fired, is misleading.",Misleading,"Aug, 03 2022"
65,"On Wednesday 3rd August 2022, Zambia Reports and various online media platforms published an article alleging that Electoral Commission of Zambia Chief Executive Officer (CEO), Kryticous Patrick Nshindano has been fired.","The fact checking process has determined as misleading the claim by Zambia Reports and various online media platforms that Electoral Commission of Zambia Chief Executive Officer (CEO), Patrick Nshindano has been fired. In a fact-finding mission to interrogate the matter, the iVerify fact checking unit contacted Mr. Nshindano who clarified that he and the commission had agreed on mutual separation by both parties. In a press release obtained by iVerify, the Electoral Commission of Zambia announced that the mutual separation was agreed upon by both parties in a commission meeting of 2nd August, 2022, as opposed to assertions that Mr. Nshindano has been fired. Therefore, reports by Zambia Reports and various online media platforms that Electoral Commission of Zambia Chief Executive Officer (CEO), Patrick Nshindano has been fired, is misleading.",Misleading,"Aug, 03 2022"
66,"On July 28, 2022, Prince Kaliza a Facebook blogger published a post stating that, Mr Bowman Lusambo, whose Kabushi Constituency seat was nullified is not eligible to recontest his seat. The claim followed a decision of the Constitutional Court on July 28 to uphold the nullification of the election of Bowman Lusambo as Kabushi Constituency Member of Parliament. The Lusaka High Court linked Lusambo to pre-election violence in Kabushi and distribution of money in breach of electoral rules and the Constitutional Court has found that the High Court was on firm ground when it found that there was violence on three occasions in Kabushi and Mr Lusambo was present at the time. The nullification triggered widespread public debate on whether  Bowman Lusambo is qualified to recontest his seat in the coming By-Elections.","iVerify Zambia has established as misleading the claim by Mr Prince Kaliza that Mr Bowman Lusambo is not eligible to recontest the Kabushi Constituency seat.  The Electoral Process Act Section 108(6) states that if it appears to the High Court during an election trial that any corrupt or illegal practice was committed by any person in connection with the election to which the election relates, in the event of an appeal, the ConCourt shall prepare the report, except that the Court shall not state the name of any person under this paragraph unless the person has been given an opportunity to appear.
Furthermore, Subsection 8 requires the Commission to recommend prosecution of the person named in the DPP’s report as soon as it gets it under Subsection 7. In the case of Bowman Lusambo, the ConCourt found fraud and violence to be illegal and prosecutable electoral practices meaning Mr Lusambo is liable to prosecution. The Electoral Commission of Zambia was contacted by iVerify Zambia to further fact-check the story. They explained that what the court has essentially done is declare the election that gave him his “victory” null and void because it was tainted by fraud and illegal activity, making it unfair, and therefore calling for a new election through a by-election in Kabushi.
Therefore, in the absence of prosecution for illegal practice, it is misleading to say Bowman Lusambo cannot recontest the Kabushi Seat. ",Misleading,"Jul, 30 2022"
67,"
United Party for National Development cadres have been
accused of restoring money mobile booths on Simon Mwewa Lane and Lumumba Roads in Lusaka.
Simon Mwewa, a social media vlogger claimed in his live stream video on July 18, 2022, that UPND cadres had started restoring the mobile money booths that were removed from Cairo Road and other parts of the Central Business District (CBD) by the Lusaka City Council on July 11.
Local Government and Rural Development Minister Gary Nkombo had said that mobile money booths were removed from Cairo Road and other parts of the Central Business District of Lusaka to enhance sanity in the city.
The minister explained that the booths would be relocated to legally designated areas with toilets and running water.","iVerify Zambia’s fact-checking team has determined as misleading the statement by Mr. Simon Mwewa that UPND cadres had started restoring mobile money booths on Lumumba Road and Simon Mwewa Lane. To verify this claim, our fact-checking team reached out to Mr. Mwewa. However, Mr. Mwewa was unable to provide evidence to back his claim on restoring of the booths by UPND cadres.
To further fact-check the claim, iVerify Zambia contacted the Lusaka City Council (LCC). But LCC Assistant City Planning officer Benson dismissed the claim, saying the council had not recorded any cases of cadres restoring booths on the Simon Mwewa Lane or indeed Lumumba Road.  Therefore, claims that UPND cadres had started restoring the booths is misleading.",Misleading,"Jul, 30 2022"
68,"A video trending on Facebook posted on July 10, 2022, by Zed Diary claimed the local authority, Lusaka City Council, had removed mobile money booths on Cairo Road and other areas of the Central Business District (CBD) due to the recent African Union Summit. The video has triggered comments from members of the public who claim the Lusaka City Council removed the booths because of the AU Summit.  ","Our fact-checking process has established as misleading the claim that the removal of mobile money booths was because of the AU Mid Year Summit held in Lusaka.
To arrive at this conclusion, iVerify Zambia monitored an interview on Hot FM Zambia on July 12, 2022 in which Minister of Local Government and Rural Development Garry Nkombo  said the removal of the booths was not because of the AU Summit, but part of an ongoing exercise to move them to a conducive area with running water and toilets. He explained that the exercise that would be extended to the rest of the country even after the AU Summit. He said communication with the mobile money booth owners started as early as September 21, 2021 contrary to claims that it was because of the AU summit. “They will be operating in a conducive area that has ablution blocks and running water,” Mr. Nkombo, stated. He also explained that in the past, the booths were not placed in areas designated by the council in accordance with the provisions of the Urban and Regional Planning Act.
In conclusion, while the Lusaka City Council has removed the money mobile booths from Cairo Road and other parts of the CBD, this was not because of the AU summit, and did not stop operators from trading.",Misleading,"Jul, 22 2022"
69,"On Thursday July 7, 2022, the Patriotic Front-PF Facebook page published an article alleging that the teachers recruited in the 2022 teacher recruitment exercise would be put on payroll in January 2023. Following the delayed completion of the teacher recruitment exercise, concerns on various media platforms have been raised that the placement of the successful candidates on government payroll might also delay and will be done in 2023.","iVerify Zambia has established as false the claims by the Patriotic Front-PF Facebook page that newly recruited teachers would be put on payroll in January 2023. According to Minister of Finance and National Planning Situmbeko Musokotwane,  money was available to pay salaries for the new teachers. Dr. Musokotwane gave the assurance during the Private Sector Day at Mulungushi Conference Centre in Lusaka. Dr. Musokotwane said teachers were expected to report to their stations so that the process of putting them on the payroll could start.  Government, he said, would not tolerate corruption in the process of placing the new teachers on the payroll. And in a statement obtained by iVerify, Ministry of Education Permanent Secretary in charge of Technical Services Joel Kamoko also said the ministry would ensure the new teachers were put on payroll as soon as possible as they were expected to report to their respective districts in July this year for orientation before they could start teaching in September in 2022. Therefore, the claim by the Patriotic Front-PF Facebook page that the newly recruited teachers will be put on payroll in January 2023, is false. ",False,"Jul, 21 2022"
70,"On July 14, 2022, Zambian Whistleblower shared a screenshot of Dr. Sishuwa Sishuwa’s Twitter feed where he claims that the President Hakainde Hichilema was abusing his office by rewarding State medals to UPND cadres and foreigners from Brenthurst Foundation led by Greg Mills. He termed this as corruption.","iVerify Zambia has established as false the claim by Dr. Sishuwa that President of Zambia Hakainde Hichilema abused his office by  honouring three foreign former presidents with Order of the Eagle First Division. President Hichilema on Thursday last week conferred The Order of the Eagle of Zambia First Division on former presidents of Nigeria Olusegun Obasanjo, Ellen Sirleaf Johnson of Liberia and Ernest Bai Koroma of Sierra Leone. Since its establishment on October 23 1965, the Order of the Eagle of Zambia is the highest civil decoration of the country and consists of four grades: Grand Commander (GCEZ), Grand Officer (GOEZ) Officer (OEZ) and Member (MEZ). In the past, former president late Kenneth Kaunda conferred the Order of the Eagle First Division on  Emperor of Ethiopia late Haile Selassie in 1965 while Zambia’s 4th president Rupiah Banda conferred the same award on Cuba’s former president late Fidel Castro in September 2009.  Article 92 (2) of the Zambian Constitution says: “Without limiting the other provisions of this Constitution, the President shall (g) confer honours”. Therefore, President Hakainde Hichilema acted within his executive functions as the Constitution is silent on who should be awarded.",False,"Jul, 20 2022"
71,"The Patriotic Front (PF) Facebook page published an article on July 16, 2022 claiming  that State House instructed Cabinet Office to exclude opposition political party leaders from attending the African Union meeting in Lusaka.","iVerify Zambia’s fact-checking team has determined as false the claim that State House instructed Cabinet Office to exclude opposition political party leaders from attending the African Union meeting. To verify this claim, our fact-checking team visited
opposition Member of Parliament Miles Sampa’s Facebook page. His Facebook page, shows a picture of him being swabbed for Covid-19 at the venue of the AU meeting. The other picture shows the 41st ordinary session of the Executive Council in progress with Mr. Sampa displaying his health clearance card to the meeting. He said it was not possible to attend the meeting without being tested for Covid-19. And another PF official, Mr. Emmanuel Mwamba published on his Facebook page pictures of PF leader of the opposition Brian Mundubile and himself during the opening ceremony of the African Union meeting. The postings by Mr. Sampa and Mr. Emmanuel Mwamba on their respective Facebook pages show that invitations to the AU meeting had also been extended to opposition party leaders, and that some opposition figures did attend. ",False,"Jul, 18 2022"
72,"The Patriotic Front (PF) Facebook page on July 13, 2022, published an article claiming Southern Province Police Commanding Officer Mr. Alfred Nawa had been removed from his position because he provided businessman James Ndambo with police escort, normally reserved for high-ranking government officials, and for deploying 300 police officers to provide security during My Home Town Beauty Pageant grand finale in Choma on July 2, 2022.","iVerify Zambia’s fact-checking process has determined as false the claim that Southern Province Police Commanding Officer Mr. Alfred Nawa has been removed from his position for providing police escort to Mr. James Ndambo and for deploying 300 officers to provide security during the My Hometown grand finale in Choma on July 2, 2022. My Home Town Beauty Pageant grand finale was a big event that was aired on different television stations and was trending online. Earlier that day a video was circulating on social media showing Mr Ndambo being escorted by police. In the video, Mr James Ndambo was then seen coming out of the car walking towards the people that were waiting for him at the event. But when contacted by iVerify Zambia, deputy police spokesperson Danny Mwale dismissed the claim, saying Mr. Nawa was still Southern Province Commanding officer. ",False,"Jul, 14 2022"
73,"On Tuesday, 12th July 2022, Zed Diary published a statement on its Facebook page claiming that former Republican, President Edgar Chagwa Lungu had said that President Hakainde Hichilema lied his way to power. In the posting, Zed Diary alleges that the former head of state made this statement in an interview at his residence in Ibex Hill in Lusaka on 12 July 2022. This was when some Patriotic Front (PF) Members of Parliament went to show solidarity with former first Lady Esther Lungu who is scheduled to appear before DEC for questioning in connection with a matter in which the commission is investigating ownership of 15 flats located in State Lodge that were seized by DEC. ","iVerify Zambia has fact-checked the claim by Zed Diary Facebook Page to establish if Mr. Edgar Chagwa Lungu had
indeed stated in an interview that President Hakainde Hichilema had lied his way to power. Our verification process has found that indeed Mr. Lungu had said that some people lied their way to power, but did not refer to President Hakainde Hichilema by  name in his statement during the interview. Therefore, the claim by Zed Dairy  that Mr. Lungu had  stated that  President Hakainde Hichilema had lied his way into power, is misleading.",Misleading,"Jul, 14 2022"
74,"On Monday 4 July 2022, Zambia Reports published a picture on their Facebook page depicting Republican President Hakainde Hichilema conferring with South-Africa based businessman, Mr. James Ndambo. The photo is purported to have been taken during President Hichilema’s five days working visit to Southern Province that started on Sunday 3 July, 2022, a day after Mr. Ndambo hosted My Hometown Beauty Pageant on Saturday 2 July 2022, in Choma. The Beauty Pageant is said to have been wholly funded by Mr. Ndambo.
After this, various media houses circulated the photo showing the two together, fueling speculations that the photograph was taken during President Hichilema’s working visit. Mr. James Ndambo is founder of My Hometown (MHT), a Choma-based non-governmental organisation (NGO) concerned with uplifting the welfare of people in Choma, his birthplace. ","iVerify Zambia has proven as misleading the claims published by Zambia Reports that President Hichilema met with Mr. Ndambo during his working visit to Southern Province as depicted in the picture that has been circulating on various social media platforms. In addition, the picture was not taken during his five days working visit. To arrive at this conclusion, iVerify analyzed the photograph using Ghiro Digital Imagine Forensic Analyser to establish if the photo was photo-shopped. Results of the analysis showed that the picture uploaded by Zambia Reports had not been tampered with. According to Zambia National Broadcasting Corporation (ZNBC) website, Southern Province Minister Cornelius Mweetwa had told ZANIS that President Hichilema’s working visit would start from Mazabuka where he would attend a memorial service of the late Grandstone Natala before proceeding to Monze for the official opening of the Lwiindi Gonde Traditional ceremony for Chief Monze. Thereafter, the President would proceed to Livingstone where he was expected to officiate at the Diaspora Conference on July 8, 2022.
Therefore, the claim that President Hichilema visited Choma and had met Mr. Ndambo as depicted in a picture that is circulating on social media platforms is misleading, and the picture was not taken during the President’s working visit to Southern Province.",Misleading,"Jul, 12 2022"
75,"On July 6 2022, Diamond TV Zambia published an article stating that Former First Lady, Esther Lungu admitted owning the fifteen (15) houses that were seized by the Drug Enforcement Commission (DEC) in New Kasama on July 1 2022. In a letter of demand to the Commission’s Director General Mary Chirwa, Mrs. Lungu through her lawyer Makebi Zulu, said had DEC been diligent enough to conduct an elementary search at the Ministry of lands, they would have established that the property belonged to her. The story was trending after DEC announced it had seized the houses that were believed to be owned by one Esther Nyawa Tembo. At the time of the seizure the Commission had called upon Tembo to provide proof of ownership of the property.","The iVerify fact checking process has determined as true the claim that Former First Lady, Esther Lungu has admitted to owning fifteen (15) houses in New Kasama that were seized by DEC on 1st July 2022.
In a letter of demand verified by iVerify sent to DEC through Makebi Zulu Advocates , Mrs.  Lungu informed DEC that she acquired the property in 2015 and that her name was on four title deeds.
The letter was written in response to the statement that DEC published and was circulating on Facebook on July 1 2022 in which the Commission was demanding proof of ownership of the seized properties.
In conclusion, it is true that Mrs. Lungu has admitted to owning 15 houses in New Kasama that DEC seized on July 1 2022. However, there is no evidence yet to prove if the houses were proceeds of crime.  ",True,"Jul, 07 2022"
76,"On July 6 2022, Diamond TV Zambia published an article stating that Former First Lady, Esther Lungu admitted owning the fifteen (15) houses that were seized by the Drug Enforcement Commission (DEC) in New Kasama on July 1 2022. In a letter of demand to the Commission’s Director General Mary Chirwa, Mrs. Lungu through her lawyer Makebi Zulu, said had DEC been diligent enough to conduct an elementary search at the Ministry of lands, they would have established that the property belonged to her. The story was trending after DEC announced it had seized the houses that were believed to be owned by one Esther Nyawa Tembo. At the time of the seizure the Commission had called upon Tembo to provide proof of ownership of the property.","The iVerify fact checking process has determined as true the claim that Former First Lady, Esther Lungu has admitted to owning fifteen (15) houses in New Kasama that were seized by DEC on 1st July 2022.
In a letter of demand verified by iVerify sent to DEC through Makebi Zulu Advocates , Mrs.  Lungu informed DEC that she acquired the property in 2015 and that her name was on four title deeds.
The letter was written in response to the statement that DEC published and was circulating on Facebook on July 1 2022 in which the Commission was demanding proof of ownership of the seized properties.
In conclusion, it is true that Mrs. Lungu has admitted to owning 15 houses in New Kasama that DEC seized on July 1 2022. However, there is no evidence yet to prove if the houses were proceeds of crime.  ",True,"Jul, 07 2022"
77,"On 30th June 2022, Nkani Facebook page published a story claiming that the Government has increased the number of fertiliser bags allocated to farmers under the Farmer Input Support Program (FISP) for the 2022/2023 farming season. Since 2002, the Government of Zambia has been funding FISP as a way of boosting agriculture yields.","The Fact checking process has determined as misleading the claim by Nkani Facebook Page that the Government has increased the number of fertiliser bags that the farmers will receive under the FISP.
On the 1st of July 2022,  iVerify carried out a fact-finding on the matter with the Department of Agrobusinesses under the Ministry of Agriculture and Livestock. The department clarified that the Ministry had not issued any press statement regarding the distribution of the fertiliser under the FISP. The Ministry explained that the number of fertiliser bags will be announced and known when the farming season approaches. In addition, the Ministry urged the public to consider press statements issued by the Ministry as official.
In conclusion, it is true that the Government will support the Farmers through FISP, but the number fertiliser bags that will be distributed through the FISP is unknown hence, the claim by Nkani Facebook Page that Government has increased the number of fertiliser bags that the farmers will receive under the FISP, is misleading, as a similar article was also published on the Zambian Observer Website page on 31st October, 2021. ",Misleading,"Jul, 04 2022"
78,"On Friday July 1, 2022, the Patriotic Front-PF Facebook page carried a video in which they claimed that the government had disbursed over K20 million to the Ministry of Education for school feeding programs in 70 districts to encourage the promotion of nutrition in schools. In the uploaded video, the Patriotic Front-PF Facebook page asserted that the pupils seen lining up to collect food were beneficiaries in the school feeding program alleged to be implemented in 70 districts in Zambia. In another Facebook upload of the video, former Ambassador of Zambia to Ethiopia, Hon. Emmanuel Mwamba lamented that the correctional facilities fed better than the school feeding program being implemented in Zambia.","The fact checking process has determined as false, the claim by the Patriotic Front-PF page that video making rounds on social media is of Zambian pupils collecting food under government’s school feeding programme. The iVerify conducted a video verification using InVID video verification tool to create multiple key frames from the clip, and also using a Google reverse image  search for the key frame image. From the results collected, the video was first shared on 28th June 2022 on the Twitter handle for Dr. Bireete Sarah @SarahBireete, a Lawyer and Human rights activist who is also Executive Director of the Center for Constitutional Governance (CCG) & Chairperson East & Horn Election Observers Network E-HORNtaken in Uganda. A comment accompanying the video read: “Demographically, the most affected categories by increasing prices of food are children. Schools can hardly afford posho and beans for kids. These nutrition imbalances have lifelong consequences. Join the space on the cost of living at 7pm #SautiUG
@qataharraymond”. This was retweeted by Twawez-ni sisi,
@Twaweza_NiSisi a Non-Governmental Organization implementing a citizen-led initiative, focusing on large scale change in East African countries of Uganda, Tanzania and Kenya. Other several Twitter pages also retweeted the post. The assertion, therefore, by the Patriotic Front-PF page that the video circulating on social media of pupils collecting food as beneficiaries of the school feeding program under the Ministry of Education is a video from Zambia, is false.  ",False,"Jul, 04 2022"
79,"On 20th June 2022, Diamond TV published a post claiming that the Government through the Ministry of Foreign Affairs and International Cooperation had not concluded the process of repatriating the remains of Sampa Mwenya, a Zambian student who died in China on 30th April 2022 despite making commitment to the family. This raised a lot of concerns from the public because in May 2022, the Government through various media houses stated that they had released $20,000 to repatriate the body from China to Zambia. Concerned members of the public wondered what caused the delay.   ","The fact checking process has establised as true that the Government through the Ministry of Foreign Affairs and International Cooperation had not yet concluded on the process of repatriating the remains of Sampa Mwenyah. iVerify has establised  that the delay in repatriation of the remains was due to Government Bureaucracy and Covid 19 guidelines.
Through a phone interview, Mr. Morgan Mwenya, father of Sampa Mwenya, explained to iVerify that despite the Government not offering financial assistance to families of deceased students who were on self-sponsorship and died abroad, the Government assisted the family in the repatriation of the body from China to Kapiri Mposhi, Central Province in Zambia. The family was notified on the process of repatriation of the body through the Ministry of Foreign Affairs and International Cooperation. The Ministry also explained to the family that the delay on the repatriation of the remains of the son was due to Government Bureaucracy.
On 21st June 2022, iVerify wrote a letter to the Ministry of Foreign Affairs and International Cooperation to seek clarity on whether the Ministry issued any Press Statement on the matter, which could be the source of the information in the story and the status of the repatriation process.
On 27th June 2022, Chembo F. Mbula, Foreign Affairs and International Cooperation Acting Permanent Secretary responded to the query. He explained that the Ministry has not issued any Press Release to the media on the demise of Sampa Mwenya. However, the Ministry participated in media interviews to address questions on the preparatory process of the repatriation. The Ministry explained that the body of Sampa Mwenya arrived in Zambia on 26th June 2022 at Kenneth Kaunda International Airport. ",True,"Jul, 01 2022"
80,"On Monday 27th June 2022, Lusaka Times online page reported that the Zamtel Chief Executive Officer, Joshua Malupenga had stated that the state-run network service provider had been put on sale and that government had already found an equity partner for the firm. In the article, Lusaka Times claimed that a source within the corporate firm stated that the Zamtel acting CEO had convened a virtual staff meeting to brief the workers and explain the implications of a recent visit by the Minister of Technology and Science, Hon. Felix Mutati, who allegedly revealed that the government had no intentions of recapitalizing the company as it was making losses. The article further alleged that a source who attended the virtual meeting claimed that Mr. Malupenga directly stated that the decision to sell the company had been taken, and changes by the new equity partners such as job losses were inevitable.","The fact checking process has determined as false, the claim by Lusaka Times, that the Zamtel CEO had stated that government had put Zamtel on sale and had already found an equity partner to run the state owned entity. A press release by the Zamtel Corporate Communications Office refuted as false, the allegation that in a virtual meeting convened virtual meeting, the Zamtel CEO had stated that Government had decided to sell the parastatal company, and an equity partner had already been found. The statement issued further clarified that the article, which is attributed to an undisclosed person, alleged to have attended the virtual meeting, is false, as at no time during the said virtual meeting did the acting CEO issue, whether directly or indirectly, such a statement. There is therefore no verifiable basis for the claim by Lusaka Times, that the Zamtel CEO had stated that government had put Zamtel on sale and had already found an equity partner.",False,"Jun, 29 2022"
81,"On 27th June 2022, former Zambian Ambassador to Ethiopia Emmanuel Mwamba published on his Facebook page a post claiming  that civil servants were no longer accessing their month Payslips because the new dawn Government changed the system. Mr Mwamba said the system used to deliver payslips to employees “has spectacularly collapsed”, resulting in civil servants failing to access their payslips for this month. Mr Mwamba posted images he said were of the previous system, as well as “the new interface which has failed!”","The fact checking has determined as misleading the claim that civil servants are no longer accessing their monthly payslips using the online system. In a phone interview with iVerify, Smart Zambia’s Director of Systems Development and Support, Mr. Luke Mate explained that while the system had indeed been changed, the changes were to improve the system not to stop civil servants from receiving their payslips online. Mr Mate said this was part of ongoing updates to improve how the civil servant receive their Payslips. The improvements, he said, included provisions for government employees to access their current and past payslips. Mr Mate explained that the upgrades caused the system to be congested, which caused some civil servants to fail to access their payslips. Mr Mate further explained that the glitch had been resolved, and some civil servants had started receiving their payslips, and gave assurance that all government employees would eventually access their payslips using the system.",Misleading,"Jun, 27 2022"
82,"On Wednesday 15th June 2022, Daily Times uploaded a statement on their Facebook page alleging that the Minister of Finance and National Planning, Dr. Situmbeko Musokotwane, had stated that if the government will not secure the International Monetary Fund supported program for Zambia, then the UPND government will not proceed to recruit Teachers and Health workers. This follows widespread media reports circulating on social media that the recruitment of Teachers and Health workers is sorely dependent on the IMF, as government might suspend the recruitment if the IMF bailout package collapses.","The fact checking process has determined as misleading, the statement by Daily Times, that the Minister of Finance and National Planning, Dr. Musokotwane had stated that if the government will not secure the IMF supported program for Zambia, then the UPND government will not proceed to recruit teachers and health workers. During the verification process, iVerify obtained a statement from the Ministry of Finance and National Planning in which the Ministry clarified that the recruitment of teachers and medical personnel and the provision of funds under the Constituency Development Fund (CDF) will proceed as scheduled. This is because the recruitment exercise and CDF financing are already provided for in the 2022 National Budget, which as stated in the 2022 Budget speech by the Minister of Finance and National Planning on Friday, 29th October 2021, the larger part of financing for the 2022 Budget is from domestic revenue, and external sources, mainly from the IMF through the US$ 1.3 billion Special Drawing Rights (SDR) allocation disbursed by the IMF to the Government in August 2021.  The ministry further explained that the rest of the financing is through ongoing project disbursements and recurrent expenditure, mainly from the World Bank.
In view of the foregoing clarification and explanation from the Ministry of Finance and National Planning, the claim by Daily Times that the Minister of Finance stated that if the Zambian government will not secure the IMF supported program for Zambia, then the UPND government will not proceed to recruit Teachers and Health workers, is therefore misleading.",Misleading,"Jun, 22 2022"
83,"Zambian Bulletin, an independent online platform with over 200,000 followers published a post on 28th May 2022, alleging that the former ruling party, Patriotic Front (PF) will be deregistered if the party does not hold a convention by June 2022. This post attracted a lot of reactions as they have been numerous rumors about the presidency of the party since its former leader, former President Edgar C. Lungu, appointed Given Lubinda as Acting party President after the 2021 General Elections.","The Fact Checking Process has established as false the claim by Zambian Bulletin that the former ruling party, the Patriotic Front will be deregistered because they have not held a convention.
The Political Party Act in Article 34, Clause 1 states that, “the Registrar may deregister a political party if the political party (a) has contravened the provisions of Article 60 of the Constitution; (b) does not adhere to the law relating to the nomination of candidates; (c) does not respect the national values and principles of the Constitution; (d) obtained its registration in a fraudulent manner; (e) has instigated or participated in the commission of an election offence; or (f) has acted contrary to the provisions of section.” Inability to conduct conventions is not among the reasons stated in the Act as basis for deregistration of a political party.
On the other hand, Article 60 of the Zambian Constitution merely provides guidance on the rights and obligations of political parties in Zambia. However, it does not state that political parties must be deregistered on account of failing to hold a convention or general conference.
In addition, iVerify Zambia consulted Mr. MacDonald Chipenzi, a governance expert and Director at the Governance, Elections, Advocacy, Research Services (GEARS) Initiative, who confirmed that there is no law in Zambia that permits deregistration of a party that has not held a convention to renew tenure of office of its office bearers. Mr. Chipenzi stated that all political parties in Zambia are merely obliged by the Republican Constitutions to practice internal democracy and hold regular internal election in accordance with their party constitutions, which for PF is every five (5) years.  The PF held their previous convention prior to the 2021 General Elections.
It is therefore incorrect to claim that the Patriotic Front party faces deregistration if it fails to conduct a convention or general conference.",False,"Jun, 22 2022"
84,"Nkani Zambia facebook page published an article on 31st May, 2022 claiming that the Energy regulation board (ERB) will announce new fuel increment of K8. The story attracted 253 comments and more than 1,200 reactions, and was shared multiple times. ","The claim on the Nkani Zambia Facebook page ithat Energy regulation board (ERB) will announce new fuel increment of K8 is misleading. The Energy Regulation  Board on 31st May held a press briefing updating the nation about some charges made with regards to the fuel prices. They announced that oly the price of petrol had been increased k24.15 to 24.95, while the prices for other types of fuel such as diesel and kerosine remained untouched.",Misleading,"Jun, 02 2022"
85,"On 22nd May 2022, Zambian Eye uploaded an article on their Facebook page claiming the Zambia Police Service had exhumed the body of former National Democratic Congress (NDC) National Youth Chairperson, Mr. Obed Kasongo, who died in 2019 shortly after being assaulted in a political fracas between suspected PF members and NDC supporters during a Parliamentary by-election in Roan Constituency.
Social Media has been awash with reports that the Zambia Police had exhumed the body of Mr Kasongo so as to do a fresh autopsy report. The reports said the initial autopsy done in 2019 showed that Mr. Kasongo was treated for Hypertension and Severe Malaria, and that the deceased had viral infections and suffered from Pulmonary Edema which can be caused by viral infections such as the Hantavirus and Dengue virus, or exposure to certain toxins.
In 2019, the NDC rejected the postmortem report issued by a Government medical practitioner indicating that Mr. Kasongo died as a result of cardiac respiratory arrest. The NDC asserted that Mr. Kasongo suffered severe internal injuries after he was beaten by PF supporters in Luanshya on April 11, leading to his death.","The fact checking process has determined as false, the claim by Zambian Eye and various media platforms that the Zambia Police Service had exhumed the body of former National Democratic Congress (NDC) National Youth Chairperson, Mr. Obed Kasongo, so as to do a fresh autopsy report. Mr. Kasongo died in 2019 shortly after being assaulted in a political fracas between suspected PF members and NDC supporters during a Parliamentary by-election in Roan Constituency.
In a statement published in the Daily Nation Zambia and other platforms, Zambia Police spokesperson, Rae Hamoonga refuted reports that they had exhumed the body of former National Democratic Congress -NDC youth Chairperson Obed Kasongo, stating that the news is fake as such occurrence never took place. In a phone call made by iVerify to Zambia Police Deputy Spokesperson, Mr. Danny Mwale could not comment further on the autopsy report done in 2019 as the case has been submitted to the National Prosecution Authority NPA for possible inquest holding.
Therefore, the claim by Zambian Eye and various media reports that the Zambia Police Service had exhumed the body of former National Democratic Congress (NDC) National Youth Chairperson, Mr. Obed Kasongo so as to do a fresh autopsy report, is false.",False,"May, 30 2022"
86,"On 9th May 2022, online media houses published numerous articles claiming that funds released for construction of universities were mismanaged during the Patriotic Front regime. Media houses such as the Patriotic Front Page, Simon Mwewa Lane TV, and Smart Eagles cited Fredrick-Jacob Titus (FJT) University in Luapula Province which received thirty-three million dollars ($33 million), and Tumpa University in Northern Province which received One hundred and twelve million dollars ($112 million). In the wake of a video making rounds of the uncompleted and unfurnished building in a deserted area, various sections of society have expressed concern about the alleged mismanagement of state resources by the previous PF regime.  ","The claim that funds allocated for the construction of the universities across the country were mismanaged during the Patriotic Front regime is unproven.
In a statement obtained by the iVerify, Professor Nkandu Luo, who was then Minister of General Education at the time the alleged funds were allocated to the construction of universities, Professor Luo confirmed that the Ministry received a percentage of the funds allocated for Northern University in Kasama district and FJT University in Mansa district. She further explained that FJT University was not completed because the Government through the leadership of former President Edgar Lungu, scaled-down some projects due to the high debt that the country acquired.
On 17th May 2022, iVerify contacted the Ministry of Finance to clarify on the disbursement of the funds allocated to the construction of the universities, but the Ministry could not comment as the matter is still in court.
To further verify the claim, the iVerify Team contacted the Auditor General’s Office who explained that the audit of the construction of universities such as the FJT University and Tumpa University, hospitals, and other projects was still underway. Furthermore, the Auditor General’s Office stated that once the findings were concluded, the public would be notified through the Office’s website and Facebook Page.
Pending the release of the Auditor General’s findings on the issues, there is not enough evidence to verify how the funds allocated to the construction of universities and various infrastructure projects were used as there is no information in the public domain. ",Unproven,"May, 26 2022"
